,course name,Link to course,Number of students who purchased the course,The number of students who rated the course,The number of factors that took part in the creation of the course,Last updated date,the language of the course,The number of languages into which the course is translated,The number of languages for which the course has subtitles,price,Is the course on sale?,The number of episodes,Number of lectures in the course,Duration of each lecture,The name of the first lecturer,Number of followers of the first lecturer,The course number of the first lecturer,Average rating of all courses of the first lecturer,The name of the second lecturer,Number of followers of the second lecturer,The course number of the second lecturer,Average rating of all courses of the second lecturer,Does the course contain exercises?,Does the course contain exams?,Does the course contain a final exam?,Course rating
10,처음 배우는 머신러닝(Machine Learning),https://www.udemy.com/course/machine-learning_hihrd/,2,0,1,12.2022,Korean,1,0,349.9,1,4,60,3h 55m,현대C&R 하이인재원,126,56,3.7,null,null,null,null,0,0,0,0
11,Programçılar üçün sql biliklərinin öyrənilməsi | 2023,https://www.udemy.com/course/sql-mssql-mysql-postgreesql-oracle-2023/,0,0,1,1.2023,Azeri,1,0,299.9,0,15,87,10h 5m,Kamran A-eff,601,3,5,null,null,null,null,0,0,0,0
12,Python for Data Analysis in Hindi/Urdu,https://www.udemy.com/course/python-for-data-analysis-in-hindiurdu/,1,1,1,2.2023,Hindi,1,0,69.9,1,6,15,5h 53m,Irfan Azmat,1,1,5,null,null,null,null,0,0,0,5
13,AI 人工智能-快速入门课 2022,https://www.udemy.com/course/ai051234/,3,0,1,5.2022,Simplified Chinese,2,0,299.9,1,6,25,6h 38m,赵辛 赵,3,2,--,null,null,null,null,0,0,0,0
14,"파이썬(Python) 딥러닝(Deep Learning,DL) 프로젝트 - 딥러닝 모델 입문",https://www.udemy.com/course/maso-ds-python-onc73/,1,0,1,12.2022,Korean,1,0,319.9,1,12,36,3h 39m,마소캠퍼스 머니매그넷,"2,241",50,4.7,null,null,null,null,0,0,0,0
15,Python Matplotlib Tutorial in Hindi,https://www.udemy.com/course/python-matplotlib-tutorial-in-hindi/,0,0,1,5.2022,Hindi,1,0,139.9,1,1,11,4h 7m,Sharad Khare,311,6,4.4,null,null,null,null,0,0,0,0
16,IT개발자들을 위한 블록체인 개발 입문(Solidity를 이용한 이더리움 스마트계약 구현),https://www.udemy.com/course/ethereum_hihrd/,1,0,1,11.2022,Korean,1,0,349.9,1,10,102,4h 42m,현대C&R 하이인재원,126,56,3.7,null,null,null,null,0,0,0,0
17,AlphaZeroの意外な構造　またはAlphaGoは如何にして棋譜データの利用を止めて自分の経験に頼るようになったか,https://www.udemy.com/course/alphazero/,23,0,1,11.2022,Japanese,1,1,349.9,1,8,106,4h 55m,内山 充康,"3,080",9,4,null,null,null,null,0,1,0,0
18,خوارزميات التنقيب في البيانات,https://www.udemy.com/course/ihwpcrwb/,0,0,1,12.2021,Arabic,1,0,69.9,1,3,12,51m total,Samah Mohamed Osman Hassan,"2,673",3,4.1,null,null,null,null,0,0,0,0
19,Pelatihan Data Science dengan Deep Learning dan Python,https://www.udemy.com/course/pydeeplearning/,3,0,1,8.2022,Indonesian,1,0,349.9,1,6,56,7h 10m,Agus Kurniawan,"2,360",29,3.8,null,null,null,null,0,0,0,0
