,course name,Number of students who purchased the course,The number of students who rated the course,The number of factors that took part in the creation of the course,Last updated date,the language of the course,The number of languages into which the course is translated,The number of languages for which the course has subtitles,price,Is the course on sale?,The number of episodes,Number of lectures in the course,Duration of each lecture,The name of the first lecturer,Number of followers of the first lecturer,The course number of the first lecturer,Average rating of all courses of the first lecturer,The name of the second lecturer,Number of followers of the second lecturer,The course number of the second lecturer,Average rating of all courses of the second lecturer,Does the course contain exercises?,Does the course contain exams?,Does the course contain a final exam?,Course rating
205,Jetson Nano Boot Camp,724,179,1,5.2022,English,1,1,105.9,1,14,91,6h 0m,Yılmaz Alaca,"9,144",16,4.6,,,,,0,0,0,4.7
206,Complete Python for data science and cloud computing,"1,362",178,1,9.2018,English,1,1,349.9,1,7,361,48h 49m,Datagist INC,"3,673",4,3.9,,,,,0,0,0,3.6
207,Machine Learning & Training Neural Network in MATLAB,"7,484",177,1,4.2018,English,1,0,89.9,1,6,6,1h 29m,Sarthak Mishra,"8,057",1,2.8,,,,,0,0,0,2.8
208,Question Generation using Natural Language processing,664,179,1,3.2022,English,1,0,123.9,0,8,38,5h 30m,Ramsri Golla,676,2,4.5,,,,,0,0,0,4.6
209,Machine Learning 2022: Complete Maths for Machine Learning,920,179,2,4.2022,English,1,1,179.9,1,4,25,2h 26m,Jitesh Khurkhuriya,"55,900",5,4.5,"Python, Data Science & Machine Learning A-Z Team","55,477",4,4.5,0,0,0,4.3
210,Mastering OCR using Deep Learning and OpenCV-Python,815,176,2,6.2021,English,1,1,105.9,1,9,27,2h 35m,Pankaj Kang,815,1,4,Atul Krishna Singh,815,1,4,1,0,0,4
211,2023 Machine Learning (with Vertex AI and 2-Hour Test),"16,480",176,1,1.2023,English,1,1,159.9,1,7,50,7h 2m,SeaportAi .,"101,934",27,4.1,,,,,1,0,1,3.5
212,Artificial Intelligence Introduction for Non-Technicals,527,175,1,7.202,English,1,1,69.9,1,8,14,3h 18m,Sudhanshu Saxena,"6,875",3,4.5,,,,,0,0,0,4.2
213,R Programming:For Data Science With Real Exercises,"52,639",175,1,4.202,English,1,1,299.9,1,6,27,4h 53m,Zulqarnain Hayat,"182,045",28,4,,,,,0,0,0,3.9
214,Artificial Intelligence and Predictive Analysis,"62,491",175,1,12.2018,English,1,1,349.9,1,11,59,6h 21m,EDUCBA Bridging the Gap,"252,615",152,4,,,,,0,0,0,4.1
215,Data Science A-Z : Machine Learning with Python & R,680,174,1,3.202,English,1,1,89.9,1,20,90,12h 18m,Arpan Gupta,924,5,3.8,,,,,1,0,0,4
216,Introduction to Artificial Intelligence: AI for beginners,"6,409",173,1,10.2019,English,1,1,349.9,1,5,13,1h 20m,Nikoloz Sanakoevi,"65,395",10,3.7,,,,,0,0,0,3.8
217,Machine Learning and Statistical Modeling with R Examples,"2,279",173,1,9.2016,English,1,1,199.9,1,5,23,2h 22m,R-Tutorials Training,"265,469",24,4.4,,,,,1,0,0,4.4
218,Data science and Data preparation with KNIME,"1,325",174,1,12.2022,English,1,1,349.9,1,2,27,4h 21m,Dan We,"81,901",63,4.5,,,,,0,0,0,4.4
219,Sentiment Analysis with NLP using Python and Flask,"23,756",177,1,1.2021,English,1,0,179.9,1,6,16,1h 25m,Yaswanth Sai Palaghat,"168,138",8,3.9,,,,,0,0,0,3.4
