,course name,Number of students who purchased the course,The number of students who rated the course,The number of factors that took part in the creation of the course,Last updated date,the language of the course,The number of languages into which the course is translated,The number of languages for which the course has subtitles,price,Is the course on sale?,The number of episodes,Number of lectures in the course,Duration of each lecture,The name of the first lecturer,Number of followers of the first lecturer,The course number of the first lecturer,Average rating of all courses of the first lecturer,The name of the second lecturer,Number of followers of the second lecturer,The course number of the second lecturer,Average rating of all courses of the second lecturer,Does the course contain exercises?,Does the course contain exams?,Does the course contain a final exam?,Course rating
191,2021 JSON ve Python ile JSON İşleme + Proje +PDF,21,2,1,3.2021,Turkish,1,0,69.90,1,3,17,1h 49m,Hasan Çağrı Güngör,484,6,4.2,null,null,null,null,0,0,0,3.7
192,データ分析シリーズ②-Pythonプログラミングの基礎と図形描画-,81,2,1,11.2021,Japanese,1,1,349.90,1,8,31,3h 31m,Trainocate Lecturers,"29,500",15,4.2,null,null,null,null,0,0,0,3.5
193,Transformer原理与代码精讲（PyTorch）,14,2,1,2.2022,Simplified Chinese,2,0,69.90,1,3,15,3h 3m,Frank BAI,178,23,4.3,null,null,null,null,0,0,0,4.0
194,Belajar Excel Hingga Mahir,2,2,1,7.2022,Indonesian,1,0,249.90,1,6,50,6h 29m,Cariilmu,"2,022",39,4.8,null,null,null,null,1,0,0,3.7
195,Minería de datos para Analistas,"1,595",2,1,12.2022,Spanish,1,1,69.90,1,5,5,33m total,Luis Guevara Matias,"19,523",427,3.4,null,null,null,null,0,0,0,2.4
196,"Data Science mit Python - Numpy, Pandas und Plotly",30,3,1,8.2021,German,1,1,209.90,1,3,50,10h 12m,Cedric Mössner,"21,368",42,4.0,null,null,null,null,0,0,0,5.0
197,데이터사이언스 훈련소 - DataFrame 다루기 및 시각화,11,2,2,6.2022,Korean,1,0,279.90,0,10,32,5h 32m,Letuin EDU,197,10,4.9,넥스트플래그 nextflag,52,7,4.9,0,0,0,4.8
198,Data Science pour l'analyse marketing et commerciale -Python,30,2,1,6.2022,French,1,1,279.90,1,12,82,24h 55m,Mohamed Abdou | Python,30,1,2.1,null,null,null,null,0,0,0,2.1
199,[OpenCV] 파이썬 딥러닝 영상처리 프로젝트 2 - 불량사과를 찾아라!,34,2,1,7.2022,Korean,1,0,319.90,1,14,60,11h 3m,Jonathan Suh,486,7,4.3,null,null,null,null,0,0,0,4.5
200,"파이썬으로 시작하는 데이터 사이언스, Colab으로 배우는 핵심 강의",32,2,1,9.2022,Korean,1,0,329.90,1,6,45,15h 54m,Jonathan Suh,486,7,4.3,null,null,null,null,0,0,0,5.0
201,豊富な演習問題とKaggle実践で身に付ける！『Python データ分析 & 機械学習 ～パーフェクトスターターコース』,105,3,1,11.2022,Japanese,1,1,699.90,1,14,138,18h 34m,Kaiki Fukunaga,359,3,4.6,null,null,null,null,0,0,0,5.0
202,Réseaux de neurones à partir de zéro,20,2,1,8.2022,French,1,1,179.90,1,8,27,5h 9m,Maxime Vandegar,"1,235",25,4.5,null,null,null,null,0,0,0,5.0
203,파이썬 웹서비스API 실전 프로젝트 - 돈 버는 디지털마케팅,28,1,1,7.2022,Korean,1,0,229.90,1,4,23,3h 25m,Jonathan Suh,486,7,4.3,null,null,null,null,0,0,0,5.0
204,Başlayanlara Yönelik Verimli MATLAB Eğitimi,2,1,1,9.2022,Turkish,1,0,69.90,1,5,9,5h 23m,Dişli Çark Eğitim,2,1,4.0,null,null,null,null,0,0,0,4.0
205,"Ciencia de los Datos - Aprenda con Python, Plotly y Leaflet",12,1,1,7.2021,Spanish,1,1,349.90,1,10,39,10h 7m,AulaGEO Academy,"21,991",125,4.0,null,null,null,null,0,0,0,3.0
206,YOLOv5实战垃圾分类目标检测,18,1,1,7.2021,Simplified Chinese,2,0,105.90,1,7,27,3h 58m,Frank BAI,178,23,4.3,null,null,null,null,0,0,0,4.5
207,Construa uma Arquitetura Lakehouse na Azure do Zero!,3,1,1,9.2022,Portuguese,1,0,69.90,1,3,11,2h 27m,Igor Lucci,25,2,4.7,null,null,null,null,0,0,0,5.0
208,AUTOML + ORANGE completo: analisando dados e modelos,31,1,2,6.2022,Portuguese,1,1,123.90,1,3,50,9h 14m,MSc Grimaldo Lopes | + 45.000 alunos de Oliveira,"46,770",165,4.4,Fernando Amaral,"166,872",55,4.6,0,0,0,4.0
209,Introducción a la visualización de datos en R con ggplot2,1,1,1,10.2022,Spanish,1,0,69.90,1,4,14,2h 47m,Raul Figueroa,1,1,5.0,null,null,null,null,0,0,0,5.0
210,UNet（TensorFlow2）图像语义分割实战：训练自己的数据集,12,1,1,1.2022,Simplified Chinese,2,0,105.90,1,6,13,2h 52m,Frank BAI,178,23,4.3,null,null,null,null,0,0,0,5.0
211,"Python para Data Science, Big Data y Machine Learning",17,1,1,1.2022,Spanish,1,1,179.90,1,9,53,5h 21m,Synergy Tecnologia,"4,180",11,4.6,null,null,null,null,1,0,0,4.0
212,Web Scraping : scraper n'importe quel site web avec Node js,8,1,1,12.2021,French,1,0,319.90,1,5,9,1h 41m,Henok Adeyama,8,1,3.0,null,null,null,null,0,0,0,3.0
213,Web Scraping : scraper n'importe quel site web avec Node js,8,1,1,12.2021,French,1,0,319.90,1,5,9,1h 41m,Henok Adeyama,8,1,3.0,null,null,null,null,0,0,0,3.0
214,Redes Neurais em termos simples (pensamento computacional),10,1,3,11.2022,Portuguese,1,0,69.90,1,3,9,1h 9m,Jorge Guerra Pires,"2,067",10,4.2,Jovem Pesquisador,621,3,3.7,0,0,0,5.0
215,Introduction à Nerf (Neural Radiance Fields),5,2,1,12.2022,French,1,0,349.90,1,10,57,10h 2m,Maxime Vandegar,"1,235",25,4.5,null,null,null,null,0,0,0,4.2
